2022-04-19 10:05:15 install findutils:arm64 <none> 4.8.0-1ubuntu3
2022-04-19 10:05:15 status half-installed findutils:arm64 4.8.0-1ubuntu3
2022-04-19 10:05:15 status unpacked findutils:arm64 4.8.0-1ubuntu3
2022-04-19 10:05:15 install gcc-12-base:arm64 <none> 12-20220319-1ubuntu1
2022-04-19 10:05:15 status half-installed gcc-12-base:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:15 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:15 install grep:arm64 <none> 3.7-1build1
2022-04-19 10:05:15 status half-installed grep:arm64 3.7-1build1
2022-04-19 10:05:15 status unpacked grep:arm64 3.7-1build1
2022-04-19 10:05:15 install gzip:arm64 <none> 1.10-4ubuntu4
2022-04-19 10:05:15 status half-installed gzip:arm64 1.10-4ubuntu4
2022-04-19 10:05:15 status unpacked gzip:arm64 1.10-4ubuntu4
2022-04-19 10:05:15 install hostname:arm64 <none> 3.23ubuntu2
2022-04-19 10:05:15 status half-installed hostname:arm64 3.23ubuntu2
2022-04-19 10:05:15 status unpacked hostname:arm64 3.23ubuntu2
2022-04-19 10:05:15 install init-system-helpers:all <none> 1.62
2022-04-19 10:05:15 status half-installed init-system-helpers:all 1.62
2022-04-19 10:05:15 status unpacked init-system-helpers:all 1.62
2022-04-19 10:05:15 install libacl1:arm64 <none> 2.3.1-1
2022-04-19 10:05:15 status half-installed libacl1:arm64 2.3.1-1
2022-04-19 10:05:15 status unpacked libacl1:arm64 2.3.1-1
2022-04-19 10:05:15 install libattr1:arm64 <none> 1:2.5.1-1build1
2022-04-19 10:05:15 status half-installed libattr1:arm64 1:2.5.1-1build1
2022-04-19 10:05:15 status unpacked libattr1:arm64 1:2.5.1-1build1
2022-04-19 10:05:15 install libaudit-common:all <none> 1:3.0.7-1build1
2022-04-19 10:05:15 status half-installed libaudit-common:all 1:3.0.7-1build1
2022-04-19 10:05:15 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-04-19 10:05:15 install libaudit1:arm64 <none> 1:3.0.7-1build1
2022-04-19 10:05:15 status half-installed libaudit1:arm64 1:3.0.7-1build1
2022-04-19 10:05:15 status unpacked libaudit1:arm64 1:3.0.7-1build1
2022-04-19 10:05:15 install libblkid1:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:15 status half-installed libblkid1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:15 status unpacked libblkid1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:15 install libbz2-1.0:arm64 <none> 1.0.8-5build1
2022-04-19 10:05:15 status half-installed libbz2-1.0:arm64 1.0.8-5build1
2022-04-19 10:05:15 status unpacked libbz2-1.0:arm64 1.0.8-5build1
